"","variable","relative_importance","scaled_importance","percentage"
"1","OverallQual",157629561176064,1,0.119189502315011
"2","GrLivArea",126155898224640,0.800331468814599,0.0953911094550538
"3","GarageCars",105454164246528,0.668999922728588,0.0797377678388012
"4","TotalBsmtSF",84533839921152,0.536281642164391,0.0639191420302506
"5","YearBuilt",78770354520064,0.499718161570479,0.0595611589753576
"6","X1stFlrSF",63942722322432,0.405651845030586,0.0483494415223615
"7","ExterQual.X_com3",58305435140096,0.369888964386394,0.0440868815770291
"8","GarageArea",56326793199616,0.357336484218857,0.0425907577130414
"9","BsmtFinSF1",50757436964864,0.322004556671769,0.0383795628528739
"10","GarageYrBlt",45734455934976,0.29013882671343,0.0345815023582349
"11","KitchenQual.X_com3",37443411640320,0.237540543543718,0.0283123391646129
"12","X2ndFlrSF",37180651077632,0.235873593761408,0.0281136562496753
"13","YearRemodAdd",35517647290368,0.225323518161017,0.026856197989479
"14","LotArea",34696029274112,0.220111183557495,0.0262349424221858
"15","Foundation.X_comPConc",28040415412224,0.177888050965925,0.0212023882624159
"16","TotRmsAbvGrd",26378040770560,0.167341966657492,0.0199454057223216
"17","LotFrontage",20444887384064,0.129702114448115,0.0154591304702754
"18","ExterQual.X_com4",20388169908224,0.129342299478024,0.0154162443030648
"19","MasVnrArea",17404032712704,0.110410969762611,0.0131598285361233
"20","OpenPorchSF",17151005032448,0.108805765266905,0.0129685050111663
"21","BsmtQual.X_com3",15530748542976,0.0985268779986577,0.0117433695533118
"22","KitchenQual.X_com4",12346793656320,0.0783279073049583,0.0093358642890543
"23","BsmtQual.X_com4",11319905353728,0.0718133405261736,0.00855939631689304
"24","WoodDeckSF",11258235453440,0.0714221074362133,0.00851276543961151
"25","BsmtUnfSF",9887122718720,0.0627237850879798,0.00747601672795002
"26","GarageFinish.X_comUnf",9784133681152,0.0620704238986216,0.00739814293295847
"27","MSSubClass",6067734970368,0.0384936361244491,0.00458803733196822
"28","BsmtExposure.X_com3",5358930100224,0.0339969867342227,0.00405208392906204
"29","Fireplaces",5239873208320,0.033241691274312,0.00396206063909449
"30","RoofStyle.X_comHip",5082941227008,0.0322461167124016,0.0038433986025429
"31","BedroomAbvGr.X_com0.230544273750397",4653781614592,0.0295235334024306,0.0035188952528163
"32","YrSold",4546510192640,0.0288430048191391,0.00343778338966266
"33","BedroomAbvGr.X_com1.59280891965608",4507634237440,0.0285963762368482,0.00340838785168274
"34","HouseStyle.X_com2Story",4441584959488,0.0281773604287776,0.00335844556605668
"35","FireplaceQu.X_com4",3849907339264,0.0244237648734164,0.00291105637992135
"36","Neighborhood.X_comNridgHt",3779200548864,0.0239752018635821,0.00285759237802228
"37","MSZoning.X_comRM",3590668419072,0.0227791563478465,0.00271503630825565
"38","BsmtFullBath.X_com1.09379822519687",3566276706304,0.02262441562164,0.00269659283811123
"39","SaleType.X_comNew",3565866450944,0.0226218129666752,0.00269628262896127
"40","GarageType.X_comDetchd",3352316084224,0.0212670520631574,0.00253480935111515
"41","CentralAir",3165353148416,0.0200809614947825,0.00239343980657002
"42","BsmtExposure.X_com0",3057340645376,0.0193957315021712,0.00231176758477936
"43","LandContour.X_comLvl",2924054839296,0.018550167985496,0.00221098529005111
"44","HouseStyle.X_com1Story",2569303752704,0.0162996314494222,0.00194274496037474
"45","Neighborhood.X_comEdwards",2515223707648,0.0159565483078306,0.00190185305147576
"46","Exterior2nd.X_comHdBoard",2492954050560,0.0158152698767936,0.00188501414559261
"47","BedroomAbvGr.X_com.1.13172037215529",2450354601984,0.0155450194982595,0.00185280313747469
"48","LotShape.X_comReg",2364056010752,0.0149975422954548,0.00178754960214359
"49","SaleType.X_comWD",2251962974208,0.0142864254484137,0.00170279193905693
"50","Exterior1st.X_comHdBoard",2224479797248,0.0141120725113443,0.00168201089926048
"51","BsmtFinType1_unfinished",2202993426432,0.0139757632387961,0.00166576426490454
"52","Condition1.X_comNorm",2196803813376,0.0139364964095934,0.00166108407107438
"53","Foundation.X_comCBlock",2161234018304,0.0137108420665462,0.00163418844223136
"54","GarageType.X_comBuiltIn",2151441498112,0.0136487184387258,0.00162678395794944
"55","GarageFinish.X_comRFn",2127890087936,0.0134993085818418,0.00160897587146648
"56","FireplaceQu.X_com3",2113317896192,0.0134068627764023,0.00159795730192503
"57","SaleCondition.X_comNormal",2070740336640,0.0131367512615676,0.00156576284490233
"58","MasVnrType",2025666510848,0.0128508034643669,0.00153168086926591
"59","OverallCond.X_com.0.594953762662343",1931560091648,0.0122537934968337,0.00146052354835852
"60","LotConfig.X_comInside",1911149821952,0.0121243109965734,0.001445090593594
"61","OverallCond.X_com1.7007105244644",1905464573952,0.0120882438530911,0.00144079176871242
"62","Fence.X_comMnPrv",1860580278272,0.011803498432593,0.00140685310375678
"63","OverallCond.X_com0.552878380901027",1735504691200,0.0110100204444618,0.00131227885725349
"64","Fence.X_com0",1721651560448,0.0109221363531235,0.00130180399614548
"65","GarageFinish.X_com0",1708111822848,0.0108362404240923,0.00129156610311337
"66","HeatingQC.X_com3",1622979379200,0.0102961612472372,0.00122719433481331
"67","SoldFourthQuartal",1613607862272,0.0102367084589526,0.00122010818656642
"68","SaleCondition.X_comPartial",1565002170368,0.00992835454651792,0.00118335563720645
"69","Exterior1st.X_comWd.Sdng",1471480070144,0.00933505149139147,0.00111264014134395
"70","SoldThirdQuartal",1434554859520,0.00910079840873044,0.00108471963300582
"71","GarageCond.X_com0",1300469645312,0.00825016345671002,0.000983332876422758
"72","GarageQual.X_com0",1263322660864,0.00801450344363349,0.000955244676748617
"73","BsmtFinType1.X_com5",1261104791552,0.00800043330795936,0.000953567664280113
"74","PavedDrive",1247429394432,0.00791367675659952,0.000943227194100967
"75","LotConfig.X_comCulDSac",1242269351936,0.00788094151038364,0.000939325496396337
"76","ExterCond.X_com4",1238792798208,0.00785888629623433,0.000936696746398429
"77","SoldSecondQuartal",1229454704640,0.00779964554533501,0.000929635870781972
"78","Condition1.X_comFeedr",1145076580352,0.00726435176123474,0.000865834471062742
"79","BsmtCond.X_com3",1016156061696,0.00644648157436032,0.000768352930530895
"80","Exterior1st.X_comMetalSd",998560432128,0.00633485511650102,0.000755048228573458
"81","Exterior2nd.X_comMetalSd",982845489152,0.00623515971128165,0.000743165582842267
"82","Neighborhood.X_comOldTown",941887258624,0.0059753211998856,0.000712195559986699
"83","Functional.X_comTyp",901482020864,0.00571899086781756,0.000681643675279268
"84","BsmtExposure.X_com1",863490801664,0.00547797503984374,0.000652917118693027
"85","Neighborhood.X_comSomerst",848152887296,0.00538067149948262,0.000641319558143898
"86","Neighborhood.X_comCollgCr",843952750592,0.00535402588382105,0.000638143680474317
"87","Exterior2nd.X_comWd.Sdng",840511651840,0.005332195595604,0.000635541739286334
"88","BsmtFinType2.X_com2",828080062464,0.00525332974529491,0.000626141757838343
"89","HeatingQC.X_com4",825360187392,0.00523607489124528,0.00062408516037165
"90","Exterior2nd.X_comPlywood",721336795136,0.004576151768451,0.000545429251799632
"91","Alley",619075010560,0.00392740426314152,0.00046810535951369
"92","Electrical.X_comSBrkr",613330780160,0.003890962936038,0.000463761935872523
"93","Exterior1st.X_comPlywood",557896040448,0.00353928562818784,0.00042184569257438
"94","BldgType.X_comTwnhsE",546748661760,0.00346856679470997,0.000413416750007855
"95","BsmtFinType1.X_com3",528547610624,0.00335309954985943,0.000399654266560433
"96","BsmtFinType1.X_com2",479393546240,0.00304126676914708,0.000362487072621822
"97","Neighborhood.X_comGilbert",467886243840,0.00296826458406108,0.000353785978513513
"98","BsmtFinType1.X_com1",328028028928,0.00208100578648195,0.000248034044005442
"99","Neighborhood.X_comSawyer",299540054016,0.00190027842354664,0.000226493239562478
