"","max_depth","mtries","ntrees","sample_rate","stopping_metric","stopping_rounds","model_ids","rmse"
"1","50","10","100","0.8","MSE","0","gridSearch_model_12","27947.938690538263"
"2","15","10","100","0.8","MSE","0","gridSearch_model_14","27963.181897542672"
"3","45","20","300","0.6","MSE","0","gridSearch_model_7","27966.17535679929"
"4","65","20","300","0.6","MSE","0","gridSearch_model_8","27966.17535679929"
"5","85","20","300","0.6","MSE","0","gridSearch_model_9","27966.17535679929"
"6","25","20","300","0.6","MSE","0","gridSearch_model_6","27966.19017582786"
"7","45","10","262","0.6","MSE","0","gridSearch_model_2","28570.951758907246"
"8","25","10","300","0.6","MSE","0","gridSearch_model_1","28607.289920709685"
"9","65","10","300","0.6","MSE","0","gridSearch_model_3","28607.308868196385"
"10","85","10","291","0.6","MSE","0","gridSearch_model_4","28631.033375752613"
"11","50","10","100","0.6","MSE","0","gridSearch_model_11","28721.025832549767"
"12","15","10","100","0.6","MSE","0","gridSearch_model_13","28742.081389377592"
"13","20","30","421","0.8","MSE","0","gridSearch_model_57","28784.398950194336"
"14","30","30","444","0.8","MSE","0","gridSearch_model_58","29091.84806928991"
"15","50","20","500","0.8","MSE","0","gridSearch_model_55","29119.564030338515"
"16","40","20","436","0.8","MSE","0","gridSearch_model_54","29132.835065400537"
"17","30","20","393","0.8","MSE","0","gridSearch_model_53","29160.426315525056"
"18","10","30","385","0.8","MSE","0","gridSearch_model_56","29190.22593701144"
"19","20","20","277","0.8","MSE","0","gridSearch_model_52","29274.024915500326"
"20","30","10","278","0.8","MSE","0","gridSearch_model_48","29580.001059541806"
"21","10","20","255","0.8","MSE","0","gridSearch_model_51","29688.245721610725"
"22","40","40","411","0.6","MSE","0","gridSearch_model_39","29721.00196775644"
"23","30","40","240","0.6","MSE","0","gridSearch_model_38","29753.77929403488"
"24","50","40","240","0.6","MSE","0","gridSearch_model_40","29753.77929403488"
"25","20","40","240","0.6","MSE","0","gridSearch_model_37","29753.799048481498"
"26","40","30","415","0.6","MSE","0","gridSearch_model_34","29842.971071104705"
"27","50","30","415","0.6","MSE","0","gridSearch_model_35","29842.971071104705"
"28","20","30","415","0.6","MSE","0","gridSearch_model_32","29843.079953418943"
"29","50","50","388","0.6","MSE","0","gridSearch_model_45","29933.43565210099"
"30","40","50","414","0.6","MSE","0","gridSearch_model_44","29948.616178718996"
"31","10","40","152","0.6","MSE","0","gridSearch_model_36","29964.83349949546"
"32","30","50","351","0.6","MSE","0","gridSearch_model_43","30013.174902435218"
"33","20","50","331","0.6","MSE","0","gridSearch_model_42","30028.872276073704"
"34","50","10","245","0.8","MSE","0","gridSearch_model_50","30061.75869017623"
"35","40","10","245","0.8","MSE","0","gridSearch_model_49","30061.75869017623"
"36","20","10","245","0.8","MSE","0","gridSearch_model_47","30061.896478439812"
"37","10","50","331","0.6","MSE","0","gridSearch_model_41","30114.784788450903"
"38","50","20","323","0.6","MSE","0","gridSearch_model_30","30209.190460747286"
"39","30","30","328","0.6","MSE","0","gridSearch_model_33","30508.964791267248"
"40","10","10","175","0.8","MSE","0","gridSearch_model_46","30522.499855987968"
"41","40","20","235","0.6","MSE","0","gridSearch_model_29","30672.951253842875"
"42","30","20","235","0.6","MSE","0","gridSearch_model_28","30672.951253842875"
"43","20","20","235","0.6","MSE","0","gridSearch_model_27","30673.315250541524"
"44","10","30","172","0.6","MSE","0","gridSearch_model_31","30765.65435340162"
"45","10","20","71","0.6","MSE","0","gridSearch_model_26","31075.959931540052"
"46","40","10","305","0.6","MSE","0","gridSearch_model_24","31214.52750228464"
"47","30","10","234","0.6","MSE","0","gridSearch_model_23","31247.50573132317"
"48","50","10","161","0.6","MSE","0","gridSearch_model_25","31343.102093249367"
"49","5","30","175","0.6","MSE","0","gridSearch_model_10","31390.574759171974"
"50","20","10","155","0.6","MSE","0","gridSearch_model_22","31489.419651239055"
"51","5","20","195","0.6","MSE","0","gridSearch_model_5","32064.7045124335"
"52","10","10","65","0.6","MSE","0","gridSearch_model_21","32084.180702337864"
"53","5","10","351","0.8","MSE","0","gridSearch_model_16","33836.67103547394"
"54","5","10","373","0.6","MSE","0","gridSearch_model_15","33869.509265067674"
"55","5","10","240","0.6","MSE","0","gridSearch_model_0","33883.138425279474"
"56","5","10","100","0.6","AUTO","0","gridSearch_model_17","34003.83157203527"
"57","5","10","100","0.8","AUTO","0","gridSearch_model_18","34136.84212646434"
"58","5","10","36","0.6","MSE","0","gridSearch_model_19","34394.3635722143"
"59","5","10","50","0.8","MSE","0","gridSearch_model_20","34689.02486641256"
