"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.0141424912883369,4,0,0.4,0.4
"2",0.0207290525726715,6,0,0.4,0.4
"3",0.0173588610645625,8,0,0.4,0.4
"4",0.00716899268435272,10,0,0.4,0.4
"5",0.0855302058898754,12,0,0.4,0.4
"6",0.000825982303996575,4,2,0.4,0.4
"7",0.0201110453115599,6,2,0.4,0.4
"8",0.0683457819939623,8,2,0.4,0.4
"9",0.0691705665977223,10,2,0.4,0.4
"10",0.0717549653402005,12,2,0.4,0.4
"11",0.0794771287652477,4,4,0.4,0.4
"12",0.0326066123744519,6,4,0.4,0.4
"13",0.0207617552092538,8,4,0.4,0.4
"14",0.0555719629439928,10,4,0.4,0.4
"15",0.00494323697077381,12,4,0.4,0.4
"16",0.020938703788006,4,6,0.4,0.4
"17",0.0494441995096617,6,6,0.4,0.4
"18",0.0706137246553603,8,6,0.4,0.4
"19",0.0793635138898556,10,6,0.4,0.4
"20",0.0734240546826316,12,6,0.4,0.4
"21",0.0255448852007682,4,0,0.6,0.4
"22",0.0268763079103879,6,0,0.6,0.4
"23",0.000601924600670013,8,0,0.6,0.4
"24",0.0797838747041521,10,0,0.6,0.4
"25",0.0267172001123341,12,0,0.6,0.4
"26",0.0409405454911674,4,2,0.6,0.4
"27",0.00650206535795743,6,2,0.6,0.4
"28",0.0569596775041147,8,2,0.6,0.4
"29",0.0218454374679501,10,2,0.6,0.4
"30",0.0587694871419339,12,2,0.6,0.4
"31",0.048626697534895,4,4,0.6,0.4
"32",0.0253756262205033,6,4,0.6,0.4
"33",0.0426766813116697,8,4,0.6,0.4
"34",0.0133182685225032,10,4,0.6,0.4
"35",0.0283275282345655,12,4,0.6,0.4
"36",0.0300790018029639,4,6,0.6,0.4
"37",0.0136550767908403,6,6,0.6,0.4
"38",0.0331303089087964,8,6,0.6,0.4
"39",0.0722214973703269,10,6,0.6,0.4
"40",0.0299651103869228,12,6,0.6,0.4
"41",0.0368109699811129,4,0,0.8,0.4
"42",0.0119546640185872,6,0,0.8,0.4
"43",0.00449420820430641,8,0,0.8,0.4
"44",0.078642823894262,10,0,0.8,0.4
"45",0.0208311712318428,12,0,0.8,0.4
"46",0.0348675484938829,4,2,0.8,0.4
