"","X","avg","med","std","max_depth","gamma","subsample","colsample_bytree"
"1",104,0.124997558363393,0.106584934779795,0.0939342492048302,12,2,0.4,0.8
"2",112,0.129852838610304,0.130770489256473,0.0949824711411347,12,6,0.4,0.8
"3",60,0.131764666472927,0.121291217776341,0.0950360962967034,12,4,0.4,0.6
"4",107,0.136222010819797,0.136674241585614,0.078469249620859,10,4,0.4,0.8
"5",100,0.136388719829456,0.105938706115685,0.0837991591499284,12,0,0.4,0.8
"6",51,0.137183358474617,0.135111753944945,0.0897789442243919,10,0,0.4,0.6
"7",64,0.137768154416848,0.114328545796159,0.100511158755588,12,6,0.4,0.6
"8",103,0.138053276315371,0.132975979459785,0.0797180628652864,10,2,0.4,0.8
"9",111,0.138682362465088,0.13670366878735,0.0952071749974987,10,6,0.4,0.8
"10",108,0.138909902752848,0.147219211192222,0.0857443303496836,12,4,0.4,0.8
"11",128,0.139596657744068,0.136279998241667,0.0885692179242353,12,6,0.6,0.8
"12",116,0.139656961694504,0.136350715633197,0.0925645804728349,12,0,0.6,0.8
"13",124,0.139755741368659,0.13034329341641,0.0861616302599418,12,4,0.6,0.8
"14",102,0.140180935055935,0.129451731844635,0.0922501210414349,8,2,0.4,0.8
"15",56,0.140655240215742,0.1395622251897,0.0943277987943669,12,2,0.4,0.6
"16",99,0.141620850727437,0.153296180907742,0.0919813401452405,10,0,0.4,0.8
"17",71,0.142293495201062,0.14651896015306,0.100890080313276,10,2,0.6,0.6
"18",120,0.14240307350193,0.137161609783691,0.0900986572535675,12,2,0.6,0.8
"19",79,0.142471499788061,0.121552658828912,0.0994957223474886,10,6,0.6,0.6
"20",8,0.143678777902497,0.130279057381935,0.100228726207982,12,2,0.4,0.4
"21",50,0.14395962390729,0.14478479408195,0.090988867813469,8,0,0.4,0.6
"22",67,0.14414765705775,0.148533239837389,0.0942260611991486,10,0,0.6,0.6
"23",106,0.14422949012932,0.115064042677266,0.100177030121456,8,4,0.4,0.8
